slot_id,floor,pos,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo_estacionado
1,0,0,,False,False,,,
2,0,1,,False,False,,,
3,0,2,,False,False,,,
4,0,3,,False,False,,,
5,0,4,,False,False,,,
6,0,5,,False,False,,,
7,0,6,,False,False,,,
8,0,7,,False,False,,,
9,0,8,,False,False,,,
10,0,9,,False,False,,,
11,1,0,,False,False,,,
12,1,1,,False,False,,,
13,1,2,,False,False,,,
14,1,3,,False,False,,,
15,1,4,,False,False,,,
16,1,5,,False,False,,,
17,1,6,,False,False,,,
18,1,7,,False,False,,,
19,1,8,,False,False,,,
20,1,9,,False,False,,,
