slot_id,piso,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,2,False,False,,,
2,0,1,False,False,,,
3,0,1,False,False,,,
4,0,1,False,False,,,
5,0,3,False,False,,,
6,0,3,False,False,,,
7,1,2,False,False,,,
8,1,2,False,False,,,
9,1,2,False,False,,,
10,1,2,False,False,,,
11,1,2,False,False,,,
12,1,1,False,False,,,
13,2,2,False,False,,,
14,2,2,False,False,,,
15,2,2,False,False,,,
16,2,2,False,False,,,
17,2,2,False,False,,,
18,2,2,False,False,,,
19,3,2,False,False,,,
20,3,2,False,False,,,
21,3,1,False,False,,,
22,3,1,False,False,,,
23,3,1,False,False,,,
24,3,3,False,False,,,
25,4,2,False,False,,,
26,4,2,False,False,,,
27,4,1,False,False,,,
28,4,3,False,False,,,
29,4,,False,False,,,
30,4,,False,False,,,
31,5,3,False,False,,,
32,5,,False,False,,,
33,5,,False,False,,,
34,5,,False,False,,,
35,5,,False,False,,,
36,5,,False,False,,,
